AccountCode,COCD1,MONTHNAME,VoucherDate,TradeDate,Vr No.,Narration,Ledger,BRS,Chq No,Debit,Credit,Running Bal.
TB65211,ALL,Jan-19,1/21/2019,1/21/2019,BR13928393,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,943191,,1500,1500
TB65211,ALL,Jan-19,1/21/2019,1/21/2019,BR07328331,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,745163,,5000,6500
TB67547,ALL,Jan-19,1/21/2019,1/21/2019,BR08672014,NSE_CASH BEING FUND REC THROUGH ATOMMIC,HDFC3304,Y,271640,,100,100
TB68536,ALL,Jan-19,1/21/2019,1/21/2019,BR13271929,NSE_CASH BEING FUND REC THRG ATOM TB685,HDFC3304,Y,199426,,3000,3000
TB68567,ALL,Jan-19,1/21/2019,1/21/2019,BR19871753,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,313762,,11000,11000
TB71775,ALL,Jan-19,1/21/2019,1/21/2019,BP22349640,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999174,215.77,,-215.77
TB72640,ALL,Jan-19,1/21/2019,1/21/2019,BR13271930,NSE_CASH BEING FUND REC THRG ATOM TB726,HDFC3304,Y,199238,,3000,3000
TB73301,ALL,Jan-19,1/21/2019,1/21/2019,BR13271931,NSE_CASH BEING FUND REC THRG ATOM TB733,HDFC3304,Y,197963,,7000,7000
TB74038,ALL,Jan-19,1/21/2019,1/21/2019,BR08072290,NSE_CASH TB74038/MR. AMARJIT RAMRAJ S 2,YESB0919,Y,657721,,20000,20000
TB74600,ALL,Jan-19,1/21/2019,1/21/2019,BP22349639,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999561,5000,,-5000
TB74801,ALL,Jan-19,1/21/2019,1/21/2019,BP22349638,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,998991,59,,-59
TB74827,ALL,Jan-19,1/21/2019,1/21/2019,BR13271932,NSE_CASH BEING FUND REC THRG ATOM TB748,HDFC3304,Y,216634,,8000,8000
TB77626,ALL,Jan-19,1/21/2019,1/21/2019,BR05171722,NSE_CASH BEING FUND REC THROUGH ATOMMIC,HDFC3304,Y,189873,,8750,8750
TB79909,ALL,Jan-19,1/21/2019,1/21/2019,BP22349637,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,998999,100,,-100
TB82510,ALL,Jan-19,1/21/2019,1/21/2019,BR17871843,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,169270,,1000,1000
TB84703,ALL,Jan-19,1/21/2019,1/21/2019,BP22349636,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,999145,680,,-680
TB85330,ALL,Jan-19,1/21/2019,1/21/2019,BR05671726,NSE_CASH RECEIVED AMOUNT THROUGH PAYMEN,YESB0919,Y,728119,,8200,8200
TB85374,ALL,Jan-19,1/21/2019,1/21/2019,BP22349635,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,347,20000,,-20000
TB85458,ALL,Jan-19,1/21/2019,1/21/2019,BP22349634,NSE_CASH * PAYOUT PAID BY API,YESB0919,Y,350,55000,,-55000
TB85523,ALL,Jan-19,1/21/2019,1/21/2019,BR37728367,MCX RECEIVED AMOUNT THROUGH PAYMENT GAT,YESB0112,Y,671874,,500,500
